title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,candidate_id,scored_at,venue_score,citation_score,institution_score,usage_score,relevance_score,total_quality_score,review_reason,recommended_action
Using open source data in developing competitive and marketing intelligence,Craig S. Fleisher,2008,European Journal of Marketing,10.1108/03090560810877196,,https://doi.org/10.1108/03090560810877196,OpenAlex,OSINT methodology,discovery,115.0,48.0,55,2026-04-23T15:04:15.521928+00:00,40.0,42.33,40.0,0.0,0.0,28.7,Below quality threshold,reject
Forensic conflict studies: Making sense of war in the social media age,Jakob Hauter,2021,Media War & Conflict,10.1177/17506352211037325,,https://doi.org/10.1177/17506352211037325,OpenAlex,OSINT methodology,discovery,46.0,52.0,56,2026-04-23T15:04:15.521928+00:00,40.0,46.79,40.0,0.0,0.0,30.04,Below quality threshold,reject
Open Source Intelligence’s Methodology Applied to Organizational Communication,Stefania Fantinelli; Domenico Franco Sivilli,2015,Mediterranean Journal of Social Sciences,10.5901/mjss.2015.v6n2p233,,https://doi.org/10.5901/mjss.2015.v6n2p233,OpenAlex,OSINT methodology,discovery,4.0,23.0,57,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,25.0,22.87,Below quality threshold,reject
Identifying Key Strategies for Reconnaissance in Cybersecurity,V.R. Vishnu; K. Praveen,2022,Studies in computational intelligence,10.1007/978-981-16-8012-0_3,,https://doi.org/10.1007/978-981-16-8012-0_3,OpenAlex,OSINT methodology,discovery,6.0,9.0,58,2026-04-23T15:04:15.521928+00:00,40.0,17.08,40.0,0.0,25.0,26.13,Below quality threshold,reject
"Assessing the Effects of a War on a Container Terminal: Lessons from Al Hudaydah, Yemen",François Guiziou,2023,TransNav the International Journal on Marine Navigation and Safety of Sea Transportation,10.12716/1001.18.01.20,,https://doi.org/10.12716/1001.18.01.20,OpenAlex,OSINT methodology,discovery,4.0,15.0,59,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,0.0,20.51,Below quality threshold,reject
Software Supply Chain Resilience in 2025: A Comparative Analysis of Major Incidents Using OSINT Methodologies,Adelaida STĂNCIULESCU; Ioan BACIVAROV,2025,International Journal of Information Security and Cybercrime,10.19107/ijisc.2025.02.03,,https://doi.org/10.19107/ijisc.2025.02.03,OpenAlex,OSINT methodology,discovery,0.0,0.0,60,2026-04-23T15:04:15.521928+00:00,40.0,0.0,40.0,0.0,0.0,16.0,Below quality threshold,reject
Validating Bad Entity Ranking in the Panama Papers via Open-source Intelligence,Donald J. Winiecki; Katherine Kappelman; Bryant Hay; Mikel Joaristi; Edoardo Serra; Francesca Spezzano,2020,,10.1109/asonam49781.2020.9381389,,https://doi.org/10.1109/asonam49781.2020.9381389,OpenAlex,OSINT methodology,discovery,2.0,30.0,61,2026-04-23T15:04:15.521928+00:00,40.0,5.45,40.0,0.0,0.0,17.63,Below quality threshold,reject
Open Source Intelligence in the Twenty-First Century: New Approaches and Opportunities,Chris Hobbs; Matthew Moran; Daniel Salisbury,2014,,,,https://dl.acm.org/citation.cfm?id=2675624,OpenAlex,OSINT methodology,discovery,21.0,0.0,62,2026-04-23T15:04:15.521928+00:00,40.0,20.83,40.0,0.0,25.0,27.25,Below quality threshold,reject
Follow the Blue Bird: A Study on Threat Data Published on Twitter,Fernando Alves; Ambrose Andongabo; Ilir Gashi; Pedro Ferreira; Alysson Bessani,2020,Lecture notes in computer science,10.1007/978-3-030-58951-6_11,,https://doi.org/10.1007/978-3-030-58951-6_11,OpenAlex,OSINT methodology,discovery,17.0,44.0,63,2026-04-23T15:04:15.521928+00:00,40.0,26.7,40.0,0.0,0.0,24.01,Below quality threshold,reject
OSINT as a part of cyber defense system,Dmytro Lande; Ellina Shnurko-Tabakova,2019,Theoretical and Applied Cybersecurity,10.20535/tacs.2664-29132019.1.169091,,https://doi.org/10.20535/tacs.2664-29132019.1.169091,OpenAlex,OSINT methodology,discovery,18.0,2.0,64,2026-04-23T15:04:15.521928+00:00,40.0,25.54,40.0,0.0,0.0,23.66,Below quality threshold,reject
Open Source Intelligence and its Applications in Next Generation Cyber Security - A Literature Review,Yogish Pai U.; Krishna Prasad K,2021,International Journal of Applied Engineering and Management Letters,10.47992/ijaeml.2581.7000.0100,,http://doi.org/10.47992/ijaeml.2581.7000.0100,OpenAlex,OSINT methodology,discovery,7.0,82.0,65,2026-04-23T15:04:15.521928+00:00,40.0,16.75,40.0,0.0,25.0,26.03,Below quality threshold,reject
Applying Digital Forensics Methodology to Open Source Investigations in Counterterrorism,Mohamed El-Guindy El-Guindy,2021,Journal of Law and Emerging Technologies,10.54873/jolets.v1i1.32,,https://doi.org/10.54873/jolets.v1i1.32,OpenAlex,OSINT methodology,discovery,5.0,34.0,66,2026-04-23T15:04:15.521928+00:00,40.0,13.13,40.0,0.0,25.0,24.94,Below quality threshold,reject
ANTI-OSINT METHODS ENSURING PROTECTION OF PERSONAL DATA IN THE CONTEXT OF CYBERCRIME,Marcin Konieczny,2025,Roczniki Administracji i Prawa,10.5604/01.3001.0055.1100,,https://doi.org/10.5604/01.3001.0055.1100,OpenAlex,OSINT methodology,discovery,1.0,17.0,67,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,25.0,23.64,Below quality threshold,reject
Investigating the Feasibility and Risks of Leveraging Artificial Intelligence and Open Source Intelligence to Manage Predictive Cyber Threat Models,Onyinye Obioha-Val; Temitope Ibrahim Lawal; Oluwaseun Oladeji Olaniyi; Michael Olayinka Gbadebo; Anthony Obulor Olisa,2025,Journal of Engineering Research and Reports,10.9734/jerr/2025/v27i21390,,https://doi.org/10.9734/jerr/2025/v27i21390,OpenAlex,OSINT methodology,discovery,7.0,28.0,68,2026-04-23T15:04:15.521928+00:00,40.0,32.59,80.0,0.0,25.0,36.78,Below quality threshold,reject
Cyber Intelligence and OSINT: Developing Mitigation Techniques Against Cybercrime Threats on Social Media,Abel Yeboah-Ofori; The Society of Digital Information and Wireless Communication,2018,International Journal of Cyber-Security and Digital Forensics,10.17781/p002378,,https://doi.org/10.17781/p002378,OpenAlex,OSINT methodology,discovery,26.0,9.0,69,2026-04-23T15:04:15.521928+00:00,40.0,29.43,40.0,0.0,25.0,29.83,Below quality threshold,reject
Becoming JUDAS: Correlating Users and Devices During a Digital Investigation,Ana Nieto,2020,IEEE Transactions on Information Forensics and Security,10.1109/tifs.2020.2988602,,https://doi.org/10.1109/tifs.2020.2988602,OpenAlex,OSINT methodology,discovery,13.0,8.0,70,2026-04-23T15:04:15.521928+00:00,100.0,22.75,40.0,0.0,0.0,37.82,Below quality threshold,reject
"Perceived Risk Assessment through Open-Source Intelligent Techniques for Opinion Mining and Sentiment Analysis: The Case Study of the Papal Basilica and Sacred Convent of Saint Francis in Assisi, Italy",Fabio Garzia; Roberto Cusani; Francesco Borghini; Benedetta Saltini; Mara Lombardi; Soodamani Ramalingam,2018,,10.1109/ccst.2018.8585519,,https://doi.org/10.1109/ccst.2018.8585519,OpenAlex,OSINT methodology,discovery,15.0,10.0,71,2026-04-23T15:04:15.521928+00:00,40.0,21.25,40.0,0.0,0.0,22.38,Below quality threshold,reject
Dart | Data Analysis For Red Teamers,A. Sivasangari; B Priyaarshini; M Kalaivani; P. Ajitha; R. M. Gomathi; Vignesh,2023,,10.1109/ictbig59752.2023.10456020,,https://doi.org/10.1109/ictbig59752.2023.10456020,OpenAlex,OSINT methodology,discovery,17.0,11.0,72,2026-04-23T15:04:15.521928+00:00,40.0,35.93,40.0,0.0,0.0,26.78,Below quality threshold,reject
"Infodemiology and Infoveillance: Framework for an Emerging Set of Public Health Informatics Methods to Analyze Search, Communication and Publication Behavior on the Internet",Günther Eysenbach,2009,Journal of Medical Internet Research,10.2196/jmir.1157,,https://doi.org/10.2196/jmir.1157,OpenAlex,OSINT methodology,discovery,1399.0,13.0,73,2026-04-23T15:04:15.521928+00:00,40.0,94.6,40.0,0.0,0.0,44.38,Below quality threshold,reject
Privacy Violating Opensource Intelligence Threat Evaluation Framework: A Security Assessment Framework For Critical Infrastructure Owners,Adrian Cartagena; Gerald Rimmer; Thomas van Dalsen; Lanier Watkins; William H. Robinson; Aviel D. Rubin,2020,2020 10th Annual Computing and Communication Workshop and Conference (CCWC),10.1109/ccwc47524.2020.9031172,,https://doi.org/10.1109/ccwc47524.2020.9031172,OpenAlex,OSINT methodology,discovery,4.0,8.0,74,2026-04-23T15:04:15.521928+00:00,40.0,9.79,40.0,0.0,0.0,18.94,Below quality threshold,reject
Open Source Intelligence (OSINT) – A practical Introduction,Varin Khera; Anand R. Prasad; Suksit Kwanoran,2024,River Publishers eBooks,10.1201/9788770047180,,https://doi.org/10.1201/9788770047180,OpenAlex,OSINT methodology,discovery,3.0,0.0,75,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,25.0,25.51,Below quality threshold,reject
Acquisition and Preparation of Data for OSINT Investigations,Helen Gibson,2016,Advanced sciences and technologies for security applications,10.1007/978-3-319-47671-1_6,,https://doi.org/10.1007/978-3-319-47671-1_6,OpenAlex,OSINT investigation,discovery,15.0,23.0,116,2026-04-23T15:04:15.521928+00:00,40.0,18.64,40.0,0.0,25.0,26.59,Below quality threshold,reject
Design of Professional Laboratory Exercises for Effective State-of-the-Art OSINT Investigation Tools - Part 3: Maltego,Klaus Schwarz; Reiner Creutzburg,2021,Electronic Imaging,10.2352/issn.2470-1173.2021.3.mobmu-045,,https://doi.org/10.2352/issn.2470-1173.2021.3.mobmu-045,OpenAlex,OSINT investigation,discovery,8.0,0.0,117,2026-04-23T15:04:15.521928+00:00,40.0,18.36,40.0,0.0,25.0,26.51,Below quality threshold,reject
Open-source Intelligence (OSINT) investigation in Facebook,Pranesh Kumar Narasimhan; Chinmay Bhosale; Muhammad Hasban Pervez; Najiba Zainab Naqvi; Mert İlhan Ecevit; Klaus Schwarz; Reiner Creutzburg,2023,Electronic Imaging,10.2352/ei.2023.35.3.mobmu-357,,https://doi.org/10.2352/ei.2023.35.3.mobmu-357,OpenAlex,OSINT investigation,discovery,2.0,19.0,118,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,0.0,18.64,Below quality threshold,reject
OSINT Clinic: Co-designing AI-Augmented Collaborative OSINT Investigations for Vulnerability Assessment,Anirban Mukhopadhyay; Kurt Luther,2025,,10.1145/3706598.3713283,,https://doi.org/10.1145/3706598.3713283,OpenAlex,OSINT investigation,discovery,3.0,77.0,119,2026-04-23T15:04:15.521928+00:00,40.0,19.85,40.0,0.0,25.0,26.96,Below quality threshold,reject
Design of Professional Laboratory Exercises for Effective State-of-the-Art OSINT Investigation Tools - Part 2: Censys,Klaus Schwarz; Reiner Creutzburg,2021,Electronic Imaging,10.2352/issn.2470-1173.2021.3.mobmu-044,,https://doi.org/10.2352/issn.2470-1173.2021.3.mobmu-044,OpenAlex,OSINT investigation,discovery,4.0,0.0,120,2026-04-23T15:04:15.521928+00:00,40.0,11.07,40.0,0.0,25.0,24.32,Below quality threshold,reject
Design of Professional Laboratory Exercises for Effective State-of-the-Art OSINT Investigation Tools - Part 1: RiskIQ Passive-Total,Klaus Schwarz; Reiner Creutzburg,2021,Electronic Imaging,10.2352/issn.2470-1173.2021.3.mobmu-043,,https://doi.org/10.2352/issn.2470-1173.2021.3.mobmu-043,OpenAlex,OSINT investigation,discovery,4.0,0.0,121,2026-04-23T15:04:15.521928+00:00,40.0,11.07,40.0,0.0,25.0,24.32,Below quality threshold,reject
OSINT investigation to detect and prevent cyber attacks and cyber security incidents,Dmytro Lande; Oleksandr Puchkov; Ihor Subach; Mykhailo Boliukh; Dmytro Nahornyi,2021,Collection Information technology and security,10.20535/2411-1031.2021.9.2.249921,,https://doi.org/10.20535/2411-1031.2021.9.2.249921,OpenAlex,OSINT investigation,discovery,2.0,6.0,122,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,25.0,22.87,Below quality threshold,reject
Now you [don’t] see me: how have new legislation and changing public awareness of the UK surveillance state impacted OSINT investigations?,Anjuli Shere,2020,Journal of Cyber Policy,10.1080/23738871.2020.1832129,,https://doi.org/10.1080/23738871.2020.1832129,OpenAlex,OSINT investigation,discovery,4.0,15.0,123,2026-04-23T15:04:15.521928+00:00,40.0,9.79,40.0,0.0,25.0,23.94,Below quality threshold,reject
Tools for OSINT-Based Investigations,Quentin Revell; Tom Smith; Robert C. Stacey,2016,Advanced sciences and technologies for security applications,10.1007/978-3-319-47671-1_10,,https://doi.org/10.1007/978-3-319-47671-1_10,OpenAlex,OSINT investigation,discovery,6.0,3.0,124,2026-04-23T15:04:15.521928+00:00,40.0,9.43,80.0,0.0,0.0,24.83,Below quality threshold,reject
Osint By Crowdsourcing: A Theoretical Model For Online Child Abuse Investigations,Kemal Veli Açar,2018,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.1467897,,https://zenodo.org/record/1467897,OpenAlex,OSINT investigation,discovery,14.0,0.0,125,2026-04-23T15:04:15.521928+00:00,40.0,20.33,40.0,0.0,0.0,22.1,Below quality threshold,reject
Private Investigation and Open Source INTelligence (OSINT),Francisco José Cesteros García,2021,IntechOpen eBooks,10.5772/intechopen.95857,,https://doi.org/10.5772/intechopen.95857,OpenAlex,OSINT investigation,discovery,3.0,1.0,127,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,25.0,23.64,Below quality threshold,reject
OSINT on the Dark Web: Child Abuse Material Investigations,Jyri Rajamäki,2022,Information & Security An International Journal,10.11610/isij.5302,,https://doi.org/10.11610/isij.5302,OpenAlex,OSINT investigation,discovery,2.0,13.0,128,2026-04-23T15:04:15.521928+00:00,40.0,7.29,40.0,0.0,0.0,18.19,Below quality threshold,reject
"Compete, Collaborate, Investigate: Exploring the Social Structures of Open Source Intelligence Investigations",Yasmine Belghith; Sukrit Venkatagiri; Kurt Luther,2022,CHI Conference on Human Factors in Computing Systems,10.1145/3491102.3517526,,https://doi.org/10.1145/3491102.3517526,OpenAlex,OSINT investigation,discovery,12.0,67.0,129,2026-04-23T15:04:15.521928+00:00,40.0,26.52,40.0,0.0,25.0,28.95,Below quality threshold,reject
INVESTIGATION OF THE USE OF OSINT TECHNOLOGY AS A NEW THREAT OF DE-ANONYMIZED PERSONS ON THE INTERNET SPACE,Anastasiia Hlavatska; Oksana Anhelska; Іvan Оpirskyy,2024,Cybersecurity Education Science Technique,10.28925/2663-4023.2024.25.1950,,https://doi.org/10.28925/2663-4023.2024.25.1950,OpenAlex,OSINT investigation,discovery,1.0,5.0,130,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,0.0,17.87,Below quality threshold,reject
Modelling the effect of deception on investigations using open source intelligence (OSINT),Paul Watters,2013,Journal of Money Laundering Control,10.1108/jmlc-01-2013-0005,,https://doi.org/10.1108/jmlc-01-2013-0005,OpenAlex,OSINT investigation,discovery,3.0,21.0,131,2026-04-23T15:04:15.521928+00:00,40.0,4.21,40.0,0.0,25.0,22.26,Below quality threshold,reject
A quantitative study of the law enforcement in using open source intelligence techniques through undergraduate practical training,Ole Halvar Larsen; Hung Q. Ngo; Nhien‐An Le‐Khac,2023,Forensic Science International Digital Investigation,10.1016/j.fsidi.2023.301622,,https://doi.org/10.1016/j.fsidi.2023.301622,OpenAlex,OSINT investigation,discovery,9.0,15.0,132,2026-04-23T15:04:15.521928+00:00,100.0,25.54,40.0,0.0,25.0,43.66,Below quality threshold,reject
An Open Source Intelligence (OSINT) framework for online investigations,Muhammad Ahmed Masud,2019,UTUPub (University of Turku),,,https://www.utupub.fi/handle/10024/147954,OpenAlex,OSINT investigation,discovery,1.0,0.0,134,2026-04-23T15:04:15.521928+00:00,40.0,2.55,40.0,0.0,25.0,21.77,Below quality threshold,reject
Introducing Social Media Intelligence (SOCMINT),David Omand; Jamie Bartlett; Carl Miller,2012,Intelligence & National Security,10.1080/02684527.2012.716965,,https://doi.org/10.1080/02684527.2012.716965,OpenAlex,social media intelligence,discovery,132.0,0.0,147,2026-04-23T15:04:15.521928+00:00,40.0,49.45,40.0,0.0,25.0,35.84,Below quality threshold,reject
Social Media Intelligence,Wendy W. Moe; David A. Schweidel,2014,Cambridge University Press eBooks,10.1017/cbo9781139381338,,https://doi.org/10.1017/cbo9781139381338,OpenAlex,social media intelligence,discovery,60.0,64.0,149,2026-04-23T15:04:15.521928+00:00,40.0,37.39,40.0,0.0,25.0,32.22,Below quality threshold,reject
Community Intelligence and Social Media Services: A Rumor Theoretic Analysis of Tweets During Social Crises1,Onook Oh; Manish Agrawal; H. Raghav Rao,2013,MIS Quarterly,10.25300/misq/2013/37.2.05,,https://doi.org/10.25300/misq/2013/37.2.05,OpenAlex,social media intelligence,discovery,644.0,63.0,151,2026-04-23T15:04:15.521928+00:00,40.0,83.42,40.0,0.0,0.0,41.03,Below quality threshold,reject
State of the art 2015: a literature review of social media intelligence capabilities for counter-terrorism,Jamie Bartlett; Louis Reynolds,2015,,,,https://apo.org.au/sites/default/files/resource-files/2015-09/apo-nid57373.pdf,OpenAlex,social media intelligence,discovery,50.0,0.0,152,2026-04-23T15:04:15.521928+00:00,40.0,35.58,40.0,0.0,25.0,31.68,Below quality threshold,reject
Is social media intelligence private? Privacy in public and the nature of social media intelligence,Kira Vrist Rønn; Sille Obelitz Søe,2019,Intelligence & National Security,10.1080/02684527.2019.1553701,,https://doi.org/10.1080/02684527.2019.1553701,OpenAlex,social media intelligence,discovery,20.0,24.0,153,2026-04-23T15:04:15.521928+00:00,40.0,27.14,40.0,0.0,25.0,29.14,Below quality threshold,reject
Applying Social Media Intelligence for Predicting and Identifying On-line Radicalization and Civil Unrest Oriented Threats,Swati Agarwal; Ashish Sureka,2015,arXiv (Cornell University),10.48550/arxiv.1511.06858,,http://arxiv.org/abs/1511.06858,OpenAlex,social media intelligence,discovery,47.0,76.0,154,2026-04-23T15:04:15.521928+00:00,40.0,34.51,40.0,0.0,25.0,31.35,Below quality threshold,reject
Fake news detection within online social media using supervised artificial intelligence algorithms,Feyza Altunbey Özbay; Bilal Alataş,2019,Physica A Statistical Mechanics and its Applications,10.1016/j.physa.2019.123174,,https://doi.org/10.1016/j.physa.2019.123174,OpenAlex,social media intelligence,discovery,390.0,75.0,155,2026-04-23T15:04:15.521928+00:00,40.0,84.66,40.0,0.0,0.0,41.4,Below quality threshold,reject
Sentiment Analysis in Social Media Data for Depression Detection Using Artificial Intelligence: A Review,Nirmal Varghese Babu; E. Grace Mary Kanaga,2021,SN Computer Science,10.1007/s42979-021-00958-1,,https://doi.org/10.1007/s42979-021-00958-1,OpenAlex,social media intelligence,discovery,287.0,102.0,156,2026-04-23T15:04:15.521928+00:00,40.0,84.25,40.0,0.0,0.0,41.28,Below quality threshold,reject
The Social Media Intelligence Analyst for Emergency Management,Robert Power; Justin Kibell,2017,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2017.037,,https://doi.org/10.24251/hicss.2017.037,OpenAlex,social media intelligence,discovery,17.0,15.0,157,2026-04-23T15:04:15.521928+00:00,40.0,21.52,40.0,0.0,25.0,27.46,Below quality threshold,reject
Detecting Illicit Drugs on Social Media Using Automated Social Media Intelligence Analysis (ASMIA),Paul Watters; Nigel Phair,2012,Lecture notes in computer science,10.1007/978-3-642-35362-8_7,,https://doi.org/10.1007/978-3-642-35362-8_7,OpenAlex,social media intelligence,discovery,28.0,18.0,158,2026-04-23T15:04:15.521928+00:00,40.0,22.82,40.0,0.0,25.0,27.85,Below quality threshold,reject
